,Year,World Population,YearlyChange,NetChange,Density(P/Km²),UrbanPop,UrbanPop %
37,2056,"9,999,078,316",0.41 %,"40,984,242",67,N.A,N.A.
38,2057,"10,038,871,455",0.40 %,"39,793,139",67,N.A,N.A.
39,2058,"10,077,505,218",0.38 %,"38,633,763",68,N.A,N.A.
40,2059,"10,115,019,649",0.37 %,"37,514,431",68,N.A,N.A.
41,2060,"10,151,448,761",0.36 %,"36,429,112",68,N.A,N.A.
42,2061,"10,186,811,588",0.35 %,"35,362,827",68,N.A,N.A.
43,2062,"10,221,118,372",0.34 %,"34,306,784",69,N.A,N.A.
44,2063,"10,254,382,505",0.33 %,"33,264,133",69,N.A,N.A.
45,2064,"10,286,615,746",0.31 %,"32,233,241",69,N.A,N.A.
46,2065,"10,317,830,205",0.30 %,"31,214,459",69,N.A,N.A.
47,2066,"10,348,042,081",0.29 %,"30,211,876",69,N.A,N.A.
48,2067,"10,377,267,714",0.28 %,"29,225,633",70,N.A,N.A.
49,2068,"10,405,519,682",0.27 %,"28,251,968",70,N.A,N.A.
50,2069,"10,432,810,409",0.26 %,"27,290,727",70,N.A,N.A.
51,2070,"10,459,152,507",0.25 %,"26,342,098",70,N.A,N.A.
52,2071,"10,484,559,382",0.24 %,"25,406,875",70,N.A,N.A.
53,2072,"10,509,046,182",0.23 %,"24,486,800",71,N.A,N.A.
54,2073,"10,532,629,592",0.22 %,"23,583,410",71,N.A,N.A.
55,2074,"10,555,327,277",0.22 %,"22,697,685",71,N.A,N.A.
56,2075,"10,577,155,889",0.21 %,"21,828,612",71,N.A,N.A.
57,2076,"10,598,131,958",0.20 %,"20,976,069",71,N.A,N.A.
58,2077,"10,618,268,333",0.19 %,"20,136,375",71,N.A,N.A.
59,2078,"10,637,573,903",0.18 %,"19,305,570",71,N.A,N.A.
60,2079,"10,656,054,443",0.17 %,"18,480,540",72,N.A,N.A.
61,2080,"10,673,719,474",0.17 %,"17,665,031",72,N.A,N.A.
62,2081,"10,690,576,967",0.16 %,"16,857,493",72,N.A,N.A.
63,2082,"10,706,644,425",0.15 %,"16,067,458",72,N.A,N.A.
64,2083,"10,721,951,208",0.14 %,"15,306,783",72,N.A,N.A.
65,2084,"10,736,532,842",0.14 %,"14,581,634",72,N.A,N.A.
66,2085,"10,750,416,739",0.13 %,"13,883,897",72,N.A,N.A.
67,2086,"10,763,615,214",0.12 %,"13,198,475",72,N.A,N.A.
68,2087,"10,776,129,373",0.12 %,"12,514,159",72,N.A,N.A.
69,2088,"10,787,962,319",0.11 %,"11,832,946",72,N.A,N.A.
70,2089,"10,799,112,048",0.10 %,"11,149,729",73,N.A,N.A.
71,2090,"10,809,575,802",0.10 %,"10,463,754",73,N.A,N.A.
72,2091,"10,819,350,484",0.09 %,"9,774,682",73,N.A,N.A.
73,2092,"10,828,432,708",0.08 %,"9,082,224",73,N.A,N.A.
74,2093,"10,836,817,175",0.08 %,"8,384,467",73,N.A,N.A.
75,2094,"10,844,496,726",0.07 %,"7,679,551",73,N.A,N.A.
76,2095,"10,851,460,597",0.06 %,"6,963,871",73,N.A,N.A.
77,2096,"10,857,694,249",0.06 %,"6,233,652",73,N.A,N.A.
78,2097,"10,863,179,438",0.05 %,"5,485,189",73,N.A,N.A.
79,2098,"10,867,893,848",0.04 %,"4,714,410",73,N.A,N.A.
80,2099,"10,871,811,478",0.04 %,"3,917,630",73,N.A,N.A.
81,2100,"10,874,902,318",0.03 %,"3,090,840",73,N.A,N.A.
